Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2026-04-05 22:01:56 UTC,115,4e6563d4-e35d-427c-a4c6-031f5aca04b4,Jordan,Love,GB,QB,1f984bfe-ae22-43ee-9973-336ebb5a41ec,9a8de796-13e1-4b99-b4e5-b91f6cea28b0,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
2026-03-27 00:19:52 UTC,18,b7c774ea-6453-4fed-8770-0d8f95cff419,Derrick,Henry,BAL,RB,20cef8c6-5ad9-489e-a61d-d261dbccac8f,65a804c2-7338-4de7-93a4-e3abf70838a7,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
2026-04-03 12:52:27 UTC,119,b8453ed0-6d82-4474-a108-128336891830,Jalen,Coker,CAR,WR,206002f7-974f-413c-8ee2-9d558e7ce3d8,18e62d2c-0e2d-4e9d-9153-623b6ec5b9f5,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
2026-04-07 11:19:21 UTC,117,b8453ed0-6d82-4474-a108-128336891830,Jalen,Coker,CAR,WR,2007f3d8-69f5-4c31-8585-9e1d7008a910,49aad976-89f8-4c71-860b-8e5c43ea9660,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
2026-03-28 23:19:57 UTC,24,a79dba5d-c547-4640-a5c8-4aef963b18e4,Travis,Etienne Jr.,NO,RB,20dad77f-7fe5-44d2-9b12-970998fae218,e0d63c39-93ca-436b-8cca-5eff7bbff4f2,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
2026-04-01 12:18:03 UTC,79,f3630521-c13b-45ff-9fd4-b22234d3d09d,Harold,Fannin,CLE,TE,20cef8c6-5ad9-489e-a61d-d261dbccac8f,65a804c2-7338-4de7-93a4-e3abf70838a7,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
2026-04-07 23:13:46 UTC,148,0e759258-47eb-4ded-af7f-6ffce9ab2ad8,Cam,Ward,TEN,QB,20124d7d-2b66-4474-bef1-2ca31016095d,45ef4741-facf-455e-b8ea-2ab9bce03b65,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
2026-03-28 13:56:19 UTC,28,a79dba5d-c547-4640-a5c8-4aef963b18e4,Travis,Etienne Jr.,NO,RB,20124d7d-2b66-4474-bef1-2ca31016095d,45ef4741-facf-455e-b8ea-2ab9bce03b65,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
2026-03-30 02:46:38 UTC,35,495d29ca-232c-40bf-92dc-d6372226354d,Rashee,Rice,KC,WR,2068bddd-60da-42a8-b905-a726bd31d95b,3dab5a42-48ee-471a-827e-b1f44ad4b42c,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
2026-04-09 10:18:04 UTC,165,e8d0dc47-cb5e-49b3-a294-d6bdb56dfb54,Geno,Smith,NYJ,QB,20124d7d-2b66-4474-bef1-2ca31016095d,45ef4741-facf-455e-b8ea-2ab9bce03b65,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3.0,500000.0,189000,,,,,,,,,,
