Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2026-08-20 22:45:28 UTC,53,00d5b7d1-4bbd-4b38-8f4b-b40348f13e55,D.J.,Moore,BUF,WR,a19c8a96-08c5-4f35-ba8d-6d83f2f0a91c,d3aadc24-e44e-4a43-9187-d09c1b7fadc7,,12,,The Corgi,fcd8c276-2624-405d-b840-26db5d949cf5,5.0,100000.0,22500,,,,,,,,,,
2026-07-19 03:26:55 UTC,168,4d3349f4-94a4-4d53-bdcb-8d754c37a315,Juwan,Johnson,NO,TE,17cc49e9-78f7-4cd6-8553-243322ab205c,acd88e83-9c1e-4761-abf8-513813b23a9e,,12,,The Fast Puppy,4bfb4ac6-ae6b-4756-a23e-9b5f1f6ff339,5.0,1000000.0,225000,,,,,,,,,,
2026-08-15 14:39:12 UTC,5,c34627c5-0225-45a3-b729-c49827bf5a8e,Jonathan,Taylor,IND,RB,a19c8a96-08c5-4f35-ba8d-6d83f2f0a91c,d3aadc24-e44e-4a43-9187-d09c1b7fadc7,,12,,The Corgi,fcd8c276-2624-405d-b840-26db5d949cf5,5.0,100000.0,22500,,,,,,,,,,
2026-07-25 01:43:55 UTC,64,7d59fc1e-990c-4002-994f-3c5e32b058ca,Jordyn,Tyson,NO,WR,85c34e99-318d-4355-9bdd-6b04498fac12,efdb5575-58f5-4248-ace5-2f83b7f2bc13,,12,,The Pug,073e644f-a358-4235-b8b3-128a51ebd64d,12.0,200000.0,18600,,,,,,,,,,
2026-07-25 02:02:37 UTC,184,8d520a36-2e8c-4bd3-84d3-29708cef21ab,Isaac,TeSlaa,DET,WR,85c34e99-318d-4355-9bdd-6b04498fac12,efdb5575-58f5-4248-ace5-2f83b7f2bc13,,12,,The Pug,073e644f-a358-4235-b8b3-128a51ebd64d,12.0,200000.0,18600,,,,,,,,,,
2026-08-05 02:13:22 UTC,82,942801d0-c4ad-4d2b-b971-34cc675ed8f8,Chuba,Hubbard,CAR,RB,99848802-0490-4179-b1e7-bb4742f8194d,74267ecb-beef-4919-a940-62250af42e0e,,12,,The Pug,073e644f-a358-4235-b8b3-128a51ebd64d,12.0,200000.0,18600,,,,,,,,,,
2026-07-25 01:57:31 UTC,153,4d3349f4-94a4-4d53-bdcb-8d754c37a315,Juwan,Johnson,NO,TE,85c34e99-318d-4355-9bdd-6b04498fac12,efdb5575-58f5-4248-ace5-2f83b7f2bc13,,12,,The Pug,073e644f-a358-4235-b8b3-128a51ebd64d,12.0,200000.0,18600,,,,,,,,,,
2026-07-25 01:39:07 UTC,33,a3a3a72e-899e-4bbb-962d-dd308af3a320,Tetairoa,McMillan,CAR,WR,85c34e99-318d-4355-9bdd-6b04498fac12,efdb5575-58f5-4248-ace5-2f83b7f2bc13,,12,,The Pug,073e644f-a358-4235-b8b3-128a51ebd64d,12.0,200000.0,18600,,,,,,,,,,
2026-08-28 11:42:59 UTC,116,28528dbe-2b54-4e90-8daf-b40ff16f4fcb,Romeo,Doubs,NE,WR,a19c8a96-08c5-4f35-ba8d-6d83f2f0a91c,d3aadc24-e44e-4a43-9187-d09c1b7fadc7,,12,,The Corgi,fcd8c276-2624-405d-b840-26db5d949cf5,5.0,100000.0,22500,,,,,,,,,,
2026-09-01 11:45:08 UTC,164,92537de5-d0be-45ec-b8ad-bf0ee3ddce60,Jalen,McMillan,TB,WR,a19c8a96-08c5-4f35-ba8d-6d83f2f0a91c,d3aadc24-e44e-4a43-9187-d09c1b7fadc7,,12,,The Corgi,fcd8c276-2624-405d-b840-26db5d949cf5,5.0,100000.0,22500,,,,,,,,,,
