Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2026-09-02 11:05:16 UTC,187,2fe40be1-ba6c-4d08-bf42-3e6c71c66f26,Cade,Otton,TB,TE,fc77e175-bb99-4386-92dd-1b6f49ad2fc2,62d32b5d-bcc2-48d2-acf7-71dd208fbb6e,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-25 21:28:41 UTC,111,6cafce4c-eb3b-4058-a496-14a70a2e795f,Isaiah,Likely,NYG,TE,a6bd5a8f-575b-49b1-a4bd-c8465e7eee8f,30f8dc05-9453-4079-9355-e65efe1fd998,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-09-04 02:02:43 UTC,212,cb3363f8-56b6-4824-8b22-1202e6ac201e,Gunnar,Helm,TEN,TE,d9fa7589-33f9-420c-b425-ce6fc9ecb810,978217e2-8cf4-4eb6-8fcd-58efeec456bc,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-21 19:47:33 UTC,72,b4da19e1-6218-4455-bc0a-42bc626abcf6,Marvin,Harrison,ARI,WR,8e3a3895-359c-4736-87ed-3c327adca338,d28f1914-0bd5-45f4-add2-df3d1c5e983b,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-23 16:28:11 UTC,87,2159602f-35b2-4bd7-91a3-2e4cf482cde1,Dak,Prescott,DAL,QB,a6bd5a8f-575b-49b1-a4bd-c8465e7eee8f,30f8dc05-9453-4079-9355-e65efe1fd998,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-28 00:49:10 UTC,108,f9bb1f35-7720-45e1-98a0-6d3136d2beae,Kenny,Gainwell,TB,RB,f0e29ddc-0450-48fd-891f-e863af391747,f1fe43cd-20e2-4cc3-a7e9-061f64cdb969,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-16 11:44:55 UTC,12,12164868-dfe2-4332-934b-46f94011d67d,Derrick,Henry,BAL,RB,f0e29ddc-0450-48fd-891f-e863af391747,f1fe43cd-20e2-4cc3-a7e9-061f64cdb969,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-09-03 11:40:02 UTC,188,ace07fec-47fa-41b0-8f67-900ca5261ed3,Oronde,Gadsden,LAC,TE,d9fa7589-33f9-420c-b425-ce6fc9ecb810,978217e2-8cf4-4eb6-8fcd-58efeec456bc,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-15 14:23:40 UTC,51,79d2e493-c4f0-42d9-b031-64b3a024c427,Luther,Burden,CHI,WR,9fe1f2a8-d64b-4f85-a49f-6f35bf71c9bb,9e642807-05dd-4ebd-b516-150ea674c423,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-09-04 01:29:56 UTC,191,bd217ff5-f47d-432e-a310-2b44fd6fa615,Jauan,Jennings,MIN,WR,c327bc1b-e0bf-465e-8173-d606cf1e4cee,c2e76a99-a46b-482d-8183-ff7a1cdd4e33,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-17 19:29:31 UTC,23,6ba58085-e65c-4488-82f9-3b55371e4bc2,Josh,Allen,BUF,QB,eda3ada1-c0f4-44f2-8c8a-b58e6236c317,aa85cd98-cccf-4089-86c5-2760b9a85957,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-18 21:04:21 UTC,49,79d2e493-c4f0-42d9-b031-64b3a024c427,Luther,Burden,CHI,WR,c35db5be-c1bd-4a6b-826b-702666f4e206,2d1e432b-7776-4af2-98fd-1dbe3fccdb5b,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-09-03 03:50:26 UTC,181,bd217ff5-f47d-432e-a310-2b44fd6fa615,Jauan,Jennings,MIN,WR,f0e29ddc-0450-48fd-891f-e863af391747,f1fe43cd-20e2-4cc3-a7e9-061f64cdb969,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-19 23:47:43 UTC,48,d82e4b0e-bb59-4796-bd7b-8eb8bffaeffb,Mike,Evans,SF,WR,b06d443b-af79-4d72-84a4-22cc5097c7ae,f347ff6e-740b-464c-a486-c2b2e498048e,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-30 00:48:25 UTC,147,3a43ee64-1e4b-489e-ad8b-066c22af1335,Juwan,Johnson,NO,TE,fbf1c565-b3d8-4d9c-a897-53a5b37f357c,08ab0d44-05f3-4df7-a415-9b14f2320d64,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-21 19:47:08 UTC,55,84f286e0-239d-433f-b654-59e374e231fe,Christian,Watson,GB,WR,ba20d4c8-5e70-4dba-80f8-6abfaeb686f2,d41bc161-391d-4d60-b31b-ccf94f4a5a17,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-29 00:04:09 UTC,145,122053e4-9895-4c88-920c-edbcedd61a73,Hunter,Henry,NE,TE,db5a8d42-3860-4852-8b95-ca4e036f3729,6ced09a2-506f-4242-8ffa-357610eaa031,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-09-04 21:24:56 UTC,209,cdf76f30-7099-481c-a26a-0844dd012041,Jaylin,Noel,HOU,WR,c60fd17d-0bdb-4ee7-be40-d1bcffbb5c1e,5befaed3-da4c-4bdf-862a-78f5f08dafb1,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-18 00:51:43 UTC,32,45b9dccc-22e7-4f30-9b11-42c07a2de939,Jeremiyah,Love,ARI,RB,f3f6202f-a143-4f08-b8e3-b8866febb859,787ef363-c32b-4705-9f73-268550540b0a,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-23 12:49:10 UTC,76,431b04bc-a58e-41ef-ae50-258d1036748f,Jaylen,Warren,PIT,RB,8f31166e-cb06-433f-a44c-c2e59eba3657,e62f07af-23cc-4dc1-9e56-c52a5ffc7507,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-21 19:48:36 UTC,73,ae99dd68-d9e0-4515-bca7-6251826d3569,Kyle,Pitts,ATL,TE,8e3a3895-359c-4736-87ed-3c327adca338,d28f1914-0bd5-45f4-add2-df3d1c5e983b,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-15 15:45:51 UTC,1,bf5232e3-61aa-4419-93df-ca90e2ff85d1,Jahmyr,Gibbs,DET,RB,c35db5be-c1bd-4a6b-826b-702666f4e206,2d1e432b-7776-4af2-98fd-1dbe3fccdb5b,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-20 11:38:06 UTC,47,eb00bfc9-0fdb-4181-9564-1515b2dd93d3,Cam,Skattebo,NYG,RB,eda3ada1-c0f4-44f2-8c8a-b58e6236c317,aa85cd98-cccf-4089-86c5-2760b9a85957,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-23 03:31:47 UTC,73,2159602f-35b2-4bd7-91a3-2e4cf482cde1,Dak,Prescott,DAL,QB,b06d443b-af79-4d72-84a4-22cc5097c7ae,f347ff6e-740b-464c-a486-c2b2e498048e,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-19 11:20:39 UTC,31,5aff5607-e6fc-42df-b609-41b63f3aa5cc,Chris,Olave,NO,WR,a3f3d3b9-2a15-4440-bb4d-31e6b98fbb17,63867e8e-c985-4686-a083-369578c2c1c1,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-15 14:44:12 UTC,190,d579528f-f506-4e21-a9dc-75b798f90c41,Jerry,Jeudy,CLE,WR,9fe1f2a8-d64b-4f85-a49f-6f35bf71c9bb,9e642807-05dd-4ebd-b516-150ea674c423,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-17 00:18:08 UTC,17,12164868-dfe2-4332-934b-46f94011d67d,Derrick,Henry,BAL,RB,9cf848ab-2f6e-4717-aaf1-037f4bc9d791,c1fdeff4-8673-4e48-a31d-3fa665c6e977,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-27 23:21:56 UTC,98,49fed2ad-e746-48a2-a01f-6f786d08f5de,Michael,Wilson,ARI,WR,c327bc1b-e0bf-465e-8173-d606cf1e4cee,c2e76a99-a46b-482d-8183-ff7a1cdd4e33,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-15 22:44:01 UTC,4,ccd82f4a-118c-48a9-bc41-be4e7982c51b,Puka,Nacua,LAR,WR,8f31166e-cb06-433f-a44c-c2e59eba3657,e62f07af-23cc-4dc1-9e56-c52a5ffc7507,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-15 13:37:01 UTC,7,7c3bca66-1a06-4fa7-a113-af6075094545,Christian,McCaffrey,SF,RB,06e038da-c58d-479f-80d8-1bc374719d01,75975984-b6d1-4c87-8278-a797757d43b3,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-29 22:41:34 UTC,132,39e57bd8-abe5-4401-be29-d9eeee732c74,Rachaad,White,WAS,RB,f0e29ddc-0450-48fd-891f-e863af391747,f1fe43cd-20e2-4cc3-a7e9-061f64cdb969,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-09-03 19:06:57 UTC,197,49dd2d8a-d21d-4757-a2d8-05e5e3f39d2d,Bryce,Young,CAR,QB,d9fa7589-33f9-420c-b425-ce6fc9ecb810,978217e2-8cf4-4eb6-8fcd-58efeec456bc,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-24 11:50:18 UTC,96,9157584b-b4bc-4ad7-95cd-47a583f141bd,RJ,Harvey,DEN,RB,8e3a3895-359c-4736-87ed-3c327adca338,d28f1914-0bd5-45f4-add2-df3d1c5e983b,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-15 14:49:07 UTC,3,8586cc92-b63c-4717-9255-18adba9d1cbc,Ja'Marr,Chase,CIN,WR,fbf1c565-b3d8-4d9c-a897-53a5b37f357c,08ab0d44-05f3-4df7-a415-9b14f2320d64,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-15 14:29:51 UTC,94,324f8d9f-7c68-495d-8101-325ed9212350,Matthew,Stafford,LAR,QB,9fe1f2a8-d64b-4f85-a49f-6f35bf71c9bb,9e642807-05dd-4ebd-b516-150ea674c423,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-09-02 01:28:14 UTC,176,305231d5-5d6d-42d4-90cf-981d25d5b8d0,Omar,Cooper,NYJ,WR,9cf848ab-2f6e-4717-aaf1-037f4bc9d791,c1fdeff4-8673-4e48-a31d-3fa665c6e977,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-09-02 17:12:36 UTC,173,09cc2464-445a-4e34-8ed2-209bcc3199c9,Dylan,Sampson,CLE,RB,ba39ca1f-03a4-41f9-bebe-e72bfe88f5bd,6835ce50-c3fb-490c-8a81-678475af8ccc,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-24 20:27:51 UTC,96,b81da160-9620-4c64-be92-ea849c5066f6,Jordan,Addison,MIN,WR,c35db5be-c1bd-4a6b-826b-702666f4e206,2d1e432b-7776-4af2-98fd-1dbe3fccdb5b,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-30 11:22:39 UTC,122,85327869-b953-4296-8061-34dbeb43bcae,Chris,Rodriguez,JAX,RB,c327bc1b-e0bf-465e-8173-d606cf1e4cee,c2e76a99-a46b-482d-8183-ff7a1cdd4e33,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-20 01:19:00 UTC,65,b4da19e1-6218-4455-bc0a-42bc626abcf6,Marvin,Harrison,ARI,WR,b91a01c3-635c-4512-b6a6-1f8b5010fac6,4cfea67b-a4bf-450b-8205-c4f5f3c4d2bc,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
2026-08-29 13:50:42 UTC,114,f9bb1f35-7720-45e1-98a0-6d3136d2beae,Kenny,Gainwell,TB,RB,a3f3d3b9-2a15-4440-bb4d-31e6b98fbb17,63867e8e-c985-4686-a083-369578c2c1c1,,12,,,,,,,,,,,,Weekly Winners,21004ed7-7e8d-49e0-b87c-5f09a3edb77a,10.0,1700000.0,186840
